t1,t2,y
20.084,20.086,-0.86866
20.035,20.029,-0.53992
20.067,20.055,-0.76592
20.086,20.149,0.97954
20.083,20.118,-0.85897
20.087,20.102,-0.87995
20.008,20.039,0.32315
20.013,20.011,-0.31188
20.063,20.058,-0.74297
20.005,20.013,0.27427
20.02,20.053,0.49298
20.032,20.073,0.61053
20.026,20.024,-0.46195
20.004,20.002,-0.13204
20.006,20.009,-0.19639
20.003,20.015,0.21628
20.024,20.074,0.54017
20.069,20.148,0.88225
20.062,20.052,-0.73707
20.029,20.037,-0.48855
20.009,20.009,-0.24338
20.088,20.112,0.98747
20.014,20.02,-0.3181
20.056,20.135,0.7991
20.033,20.052,-0.52504
20.037,20.031,-0.56
20.087,20.169,0.98215
20.073,20.119,0.90221
20.005,20.012,0.27643
20,20.007,0.0082617
20.011,20.01,-0.28376
20.024,20.05,0.5369
20.027,20.042,0.56873
20.098,20.11,-0.94216
20.089,20.087,-0.89512
20.016,20.011,-0.35316
20.03,20.071,0.59937
20.005,20.026,0.26046
20.084,20.152,0.9656
20.054,20.059,-0.6835
20.004,20.016,0.23335
20.019,20.02,-0.38257
20.078,20.072,-0.82984
20.05,20.117,0.75366
20.002,20.021,0.1814
20.02,20.02,-0.39375
20.051,20.072,-0.66386
20.014,20.011,-0.32025
20.084,20.116,-0.86511
20.007,20.015,0.30698
20.032,20.042,-0.51143
20.022,20.046,0.51584
20.021,20.016,-0.40197
20.005,20.002,-0.16237
20.088,20.124,-0.88834
20.098,20.118,-0.93829
20.046,20.054,-0.62684
20.026,20.02,-0.45819
20.084,20.098,-0.86751
20.015,20.011,-0.33301
20.09,20.121,-0.90019
20.072,20.082,-0.79738
20.082,20.073,-0.85626
20.058,20.106,0.80903
20.018,20.021,-0.3764
20.002,20.014,0.18354
20.009,20.011,-0.24475
20.073,20.121,0.90313
20.019,20.043,0.48479
20.053,20.078,0.77419
20.002,20.012,0.19779
20.011,20.027,0.37926
20.007,20.006,-0.21777
20.037,20.053,-0.55345
20.062,20.064,-0.73748
20.05,20.055,-0.65504
20.069,20.142,0.8772
20.096,20.127,-0.93104
20.05,20.091,0.75911
20,20.009,0.044655
20.032,20.081,0.61649
20.003,20.001,-0.10484
20.013,20.007,-0.30692
20.022,20.045,0.5143
20.011,20.016,-0.27957
20.001,20.009,0.11321
20.053,20.08,0.77744
20.04,20.065,0.68033
20.032,20.03,-0.51195
20.003,20.002,-0.12876
20.037,20.091,0.65711
20.056,20.042,-0.69459
20.022,20.072,0.51591
20.05,20.119,0.75302
20,20.002,0.0042472
20.001,20.007,0.14053
20.043,20.1,0.70296
20.085,20.152,0.96929
20.028,20.078,0.58043
20.012,20.013,-0.29863
20,20.001,0.0038097
20.029,20.047,-0.48958
20,20.005,0.019743
20.08,20.069,-0.84276
20.088,20.094,-0.8882
20.005,20.036,0.26998
20.004,20.027,0.23381
20.079,20.109,-0.83705
20.003,20.021,0.21904
20,20.01,0.089341
20.044,20.062,0.71184
20.006,20.024,0.28538
20.026,20.029,-0.45673
20.07,20.071,-0.7865
20.086,20.08,-0.87897
20.004,20.028,0.24377
20.012,20.04,0.39814
20.025,20.03,-0.45012
20.004,20.002,-0.15606
20.01,20.014,-0.26835
20.079,20.099,-0.83568
20.083,20.073,-0.86046
20.065,20.061,-0.75822
20.01,20.025,0.35571
20.038,20.05,-0.56213
20.033,20.039,-0.52544
20.107,20.137,-0.98273
20.017,20.054,0.45422
20.001,20.006,0.12207
20.001,20.006,0.10395
20.019,20.038,0.48451
20.036,20.084,0.64927
20.007,20.005,-0.21321
20.061,20.054,-0.72811
20.044,20.036,-0.60851
20.016,20.047,0.4406
20.009,20.045,0.33927
20.087,20.1,-0.8803
20.008,20.006,-0.23145
20.001,20.001,-0.017528
20.025,20.057,0.54832
20.057,20.054,-0.70438
20.001,20.002,-0.028932
20.082,20.094,-0.85633
20.028,20.061,0.57489
20.007,20.008,-0.21254
20.034,20.052,-0.52768
20.079,20.112,-0.83886
20.08,20.11,-0.84199
20.065,20.13,0.85486
20.041,20.061,-0.59057
20.075,20.141,0.91316
20.014,20.014,-0.32052
20.076,20.117,0.91993
20.013,20.015,-0.31371
20.085,20.111,-0.87315
20.003,20.014,0.22495
20.001,20.004,0.11123
20.058,20.129,0.8129
20.042,20.065,-0.59755
20.028,20.067,0.57539
20.013,20.011,-0.30456
20.08,20.13,0.9443
20.039,20.079,0.6721
20.014,20.052,0.42361
20.039,20.055,-0.5702
20.104,20.138,-0.9691
20.04,20.058,-0.57991
20,20.006,0.072937
20.07,20.058,-0.78308
20.043,20.064,0.70752
20.06,20.139,0.8217
20.015,20.018,-0.33255
20.001,20.002,-0.061714
20.109,20.134,-0.99421
20.019,20.015,-0.37818
20.001,20.004,-0.029556
20.028,20.036,-0.47567
20.01,20.031,0.36622
20.06,20.084,0.82237
20.001,20.012,0.141
20.027,20.031,-0.46944
20.065,20.132,0.85694
20.085,20.119,-0.87151
20.004,20.016,0.2526
20.072,20.148,0.89656
20,20.001,0.032787
20.075,20.153,0.91341
20.026,20.036,-0.45596
20,20.01,0.05398
20.06,20.086,0.82238
20.039,20.035,-0.57063
20.037,20.067,0.65357
20.06,20.046,-0.72334
20.003,20.001,-0.1245
20.049,20.1,0.75057
20.013,20.048,0.40862
20.001,20.005,-0.0059556
20.003,20.022,0.21919
20.08,20.106,-0.84434
20.032,20.023,-0.51713
20.1,20.113,-0.94843
20.042,20.087,0.69295
20.104,20.14,-0.97027
20.001,20.006,0.10083
20.066,20.089,-0.76066
20.002,20.013,0.1759
20.004,20.027,0.24442
20.02,20.065,0.49404
20.019,20.028,-0.38014
20.061,20.101,0.83301
20.027,20.051,0.56453
20.072,20.098,-0.79791
20.024,20.038,-0.43779
20.059,20.095,0.81501
20.069,20.067,-0.77783
20.028,20.043,0.57964
20.072,20.076,-0.79544
20.024,20.071,0.53589
20.008,20.027,0.32411
20.025,20.061,0.5462
20.066,20.151,0.86396
20.049,20.068,-0.64623
20.102,20.099,-0.95916
20.038,20.081,0.66728
20.001,20.001,-0.053613
20.069,20.102,-0.78271
20.076,20.087,-0.82189
20.067,20.067,-0.76974
20.051,20.068,-0.66405
20.08,20.129,0.94502
20.023,20.016,-0.42799
20.002,20.022,0.19805
20.043,20.094,0.70442
20.032,20.029,-0.51043
20.017,20.043,0.45434
20.006,20.007,-0.19842
20.019,20.026,-0.3788
20.007,20.015,0.3076
20.007,20.008,-0.21635
20.066,20.092,-0.76133
20.082,20.124,0.95708
20,20.01,0.036504
20,20.005,0.015537
20.016,20.025,-0.34996
20.043,20.053,-0.60546
20.046,20.078,0.72579
20.027,20.026,-0.46426
20,20.005,0.077362
20.001,20.015,0.10293
20.077,20.147,0.92651
20.026,20.041,-0.46085
20.027,20.032,-0.46856
20.019,20.024,-0.38002
20.001,20.012,0.1146
20.009,20.01,-0.24362
20.031,20.031,-0.50847
20.009,20.032,0.35236
20.028,20.036,-0.47741
20.076,20.155,0.92297
20.001,20.001,-0.0048465
20.004,20.004,-0.14446
20.001,20.011,0.13558
20.003,20.021,0.22608
20.032,20.09,0.61399
20.051,20.116,0.76157
20.053,20.05,-0.68004
20.076,20.061,-0.82165
20.018,20.024,-0.37373
20.003,20.018,0.21471
20.009,20.01,-0.24252
20.064,20.093,0.85109
20.088,20.075,-0.88597
20.088,20.181,0.98803
20.008,20.017,0.33392
20.004,20.019,0.2343
20.057,20.066,-0.70423
20.098,20.109,-0.94201
20.001,20.018,0.14494
20.098,20.129,-0.94004
20.014,20.031,0.42307
20.039,20.038,-0.57192
20.029,20.035,-0.48963
20.075,20.135,0.91719
20.047,20.044,-0.63622
20.03,20.057,0.59691
20.094,20.127,-0.91991
20.019,20.023,-0.38168
20.078,20.139,0.93418
20.027,20.036,-0.46602
20.065,20.068,-0.75625
20.003,20.013,0.21476
20.006,20.021,0.2907
20.049,20.118,0.74885
20.056,20.131,0.79466
20.089,20.112,-0.89364
20.022,20.043,0.51903
20.045,20.112,0.71781
20.001,20.002,-0.036554
20.081,20.113,-0.84981
20.076,20.102,-0.81856
20.042,20.035,-0.59957
20.026,20.041,0.55657
20.006,20.006,-0.18544
20.037,20.097,0.65408
20.057,20.081,-0.70406
20.018,20.039,0.46583
20.056,20.043,-0.70022
20.04,20.067,0.67686
20,20.007,0.090734
20.076,20.115,0.92234
20.081,20.079,-0.84901
20.067,20.141,0.86767
20.011,20.01,-0.28115
20.084,20.105,-0.86614
20.078,20.121,0.93187
20.006,20.023,0.29891
20.005,20.005,-0.15877
20.002,20.022,0.19288
20.013,20.015,-0.30582
20.038,20.029,-0.56475
20.095,20.126,-0.92432
20.055,20.047,-0.69315
20.009,20.01,-0.25324
20.05,20.086,0.75363
20.003,20.001,-0.1177
20.005,20.034,0.27554
20.008,20.011,-0.22439
20.039,20.083,0.67439
20.024,20.065,0.53263
20.064,20.095,-0.74883
20.075,20.063,-0.81468
20.008,20.037,0.32064
20.009,20.014,-0.24466
20.07,20.066,-0.78442
20.004,20.033,0.24762
20.004,20.023,0.2432
20.06,20.129,0.82325
20.003,20.019,0.21226
20.001,20.003,-0.029309
20.001,20.01,0.15348
20.084,20.153,0.9642
20,20.009,0.037137
20.013,20.007,-0.3026
20.084,20.127,0.96575
20.087,20.127,0.98402
20.055,20.083,0.79231
20.019,20.054,0.48316
20.008,20.024,0.32947
20.018,20.035,0.46673
20.003,20.002,-0.12817
20.007,20.003,-0.20074
20.038,20.044,-0.56422
20.051,20.081,0.76326
20.07,20.131,0.88414
20.072,20.134,0.89791
20.07,20.068,-0.78711
20.087,20.105,-0.88405
20.052,20.069,-0.67255
20,20.003,0.054948
20.083,20.074,-0.8605
20.106,20.117,-0.97971
20.075,20.072,-0.81664
20.003,20.018,0.21487
20.088,20.107,-0.88783
20.007,20.034,0.3162
20.001,20.013,0.15164
20.082,20.09,-0.85233
20.032,20.041,-0.51686
20.012,20.012,-0.29761
20.064,20.083,-0.74652
20.019,20.04,0.47882
20.003,20.001,-0.10864
20.103,20.112,-0.96478
20.01,20.037,0.36342
20.051,20.117,0.76167
20.06,20.087,-0.72036
20.033,20.062,0.62171
20.03,20.041,-0.49428
20.1,20.117,-0.95123
20,20.002,0.061447
20.067,20.089,0.86971
20.024,20.07,0.53866
20.006,20.006,-0.1905
20.015,20.029,0.43562
20.001,20.001,-0.037355
20.003,20.001,-0.11765
20.07,20.153,0.88472
20.001,20.012,0.15756
20.027,20.053,0.56722
20.015,20.06,0.42961
20.059,20.054,-0.71567
20.012,20.034,0.38584
20.007,20.008,-0.2127
20.063,20.053,-0.74446
20.006,20.025,0.28181
20.001,20.006,-0.004983
20.085,20.11,-0.87205
20,20.008,0.047074
20.018,20.029,-0.37092
20.044,20.071,0.70978
20.106,20.098,-0.98197
20.042,20.036,-0.59483
20.051,20.067,0.76121
20.038,20.039,-0.5639
20.017,20.024,-0.36462
20.013,20.007,-0.31207
20.03,20.053,0.60015
20.001,20.017,0.14217
20.033,20.092,0.62648
20.077,20.07,-0.82764
20.045,20.039,-0.61573
20.005,20.027,0.259
20.085,20.104,-0.87227
20.019,20.053,0.48592
20.003,20.017,0.20679
20.03,20.048,0.59689
20.053,20.051,-0.67881
20.018,20.033,0.47586
20.022,20.037,0.51408
20.051,20.084,0.76262
20.004,20.003,-0.14152
20.046,20.038,-0.62503
20.02,20.013,-0.39394
20.017,20.027,-0.35849
20.003,20.002,-0.11599
20.011,20.006,-0.27623
20.004,20.033,0.2512
20.069,20.153,0.87765
20.023,20.018,-0.42619
20.032,20.025,-0.5108
20.063,20.135,0.84171
20.065,20.115,0.85243
20.019,20.018,-0.38012
20.081,20.099,-0.84705
20.026,20.048,0.56176
20.062,20.061,-0.73851
20.002,20,-0.077036
20.003,20.001,-0.11966
20.003,20.027,0.21
20.064,20.091,-0.74596
20.002,20.012,0.19809
20.062,20.07,-0.73575
20.067,20.057,-0.76933
20.003,20.002,-0.11785
20.026,20.021,-0.4578
20.07,20.144,0.88821
20,20.009,0.033286
20.003,20.001,-0.10942
20.019,20.03,-0.38282
20.001,20.002,-0.060805
20.026,20.046,0.55889
20.051,20.068,-0.66237
20.101,20.141,-0.9551
20.014,20.046,0.41746
20.003,20.025,0.2103
20.005,20.003,-0.17264
20.061,20.141,0.82954
20.001,20.003,-0.045638
20.061,20.105,0.83244
20.001,20.003,-0.0061865
20.065,20.136,0.85511
20.013,20.031,0.4073
20.012,20.047,0.38928
20.108,20.13,-0.99081
20,20.014,0.080439
20.005,20.002,-0.17406
20.005,20.024,0.25626
20,20.004,0.087071
20.038,20.05,-0.568
20.001,20.004,0.10421
20.046,20.097,0.7255
20.108,20.143,-0.99012
20.064,20.057,-0.74983
20.025,20.069,0.55014
20.102,20.087,-0.95923
20.059,20.069,-0.71473
20.017,20.016,-0.35918
20.058,20.078,0.8095
20.003,20.009,0.22831
20.104,20.132,-0.9682
20.018,20.019,-0.37721
20.044,20.061,-0.61446
20.025,20.031,-0.44906
20.099,20.138,-0.94658
20.038,20.054,0.66128
20.023,20.034,0.52856
20.016,20.041,0.44231
20.036,20.05,0.64543
20.023,20.062,0.52909
20.066,20.093,-0.75887
20.008,20.013,-0.23134
20.099,20.084,-0.94415
20.11,20.111,-0.99739
20.107,20.137,-0.986
20.051,20.052,-0.66443
20.056,20.043,-0.69913
20,20.004,0.030988
20.005,20.004,-0.16223
20.002,20.01,0.18763
20.025,20.034,-0.44604
20.002,20.01,0.18565
20.002,20.023,0.17028
20.065,20.082,-0.75682
20.08,20.083,-0.84281
20.097,20.121,-0.93587
20.051,20.076,-0.66366
20,20.008,0.048342
20.04,20.079,0.68274
20.019,20.015,-0.38718
20.045,20.061,-0.61768
20.085,20.113,-0.86976
20.071,20.13,0.89202
20.032,20.05,-0.51047
20.004,20.032,0.25081
20.041,20.031,-0.58665
20.032,20.026,-0.51651
20.019,20.064,0.48683
20.055,20.049,-0.68799
20.036,20.095,0.64634
20.074,20.072,-0.81203
20.083,20.136,0.9596
20.007,20.016,0.30644
20.023,20.026,-0.43177
20.047,20.096,0.73447
20.098,20.105,-0.93972
20.023,20.038,0.52188
20.055,20.116,0.79235
20.004,20.025,0.23775
20.016,20.031,0.44149
20.002,20.001,-0.0723
20.022,20.056,0.51777
20.107,20.09,-0.98572
20.044,20.036,-0.61303
20.075,20.104,-0.8171
20.051,20.057,-0.66413
20.07,20.124,0.8845
20.042,20.071,0.69886
20.06,20.063,-0.72543
20.008,20.036,0.32145
20.095,20.099,-0.92302
20.057,20.066,-0.70367
20.046,20.046,-0.63047
20.006,20.029,0.29072
20.044,20.09,0.71311
20.043,20.067,0.70675
20.001,20.005,-0.011924
20.026,20.043,0.56175
20.025,20.034,-0.45069
20.078,20.114,0.93476
20.087,20.145,0.98106
20.078,20.101,-0.8311
20.015,20.024,-0.34041
20.027,20.042,-0.4634
20.038,20.043,-0.56815
20.024,20.047,0.53404
20.01,20.007,-0.26989
20.055,20.048,-0.69197
20.052,20.047,-0.66996
20.054,20.113,0.78673
20.071,20.109,0.89158
20,20.008,0.034935
20.103,20.089,-0.96325
20.005,20.005,-0.16139
20.065,20.077,-0.75583
20.073,20.129,0.9037
20.026,20.022,-0.45964
20.055,20.121,0.78731
20.055,20.103,0.79038
20.025,20.043,0.55106
20.059,20.082,0.81764
20.103,20.087,-0.96664
20.076,20.164,0.91858
20.081,20.099,-0.84949
20.023,20.026,-0.42973
20.001,20.002,-0.023766
20.08,20.162,0.94114
20.001,20.015,0.13623
20.025,20.04,-0.45206
20.063,20.091,-0.74183
20.055,20.075,-0.68962
20.026,20.035,-0.46238
20.004,20.003,-0.13222
20.007,20.007,-0.20819
20.004,20.004,-0.14951
20.003,20.026,0.22878
20.003,20.001,-0.10639
20.105,20.099,-0.97595
20.096,20.133,-0.93146
20.007,20.006,-0.20246
20.083,20.173,0.9589
20,20.013,0.085538
20.06,20.092,0.82477
20.016,20.026,-0.35168
20.022,20.018,-0.41897
20.05,20.117,0.75795
20.026,20.072,0.55829
20.007,20.009,-0.21118
20.051,20.087,0.76465
20.004,20.004,-0.14866
20.002,20.001,-0.067244
20.004,20.002,-0.15014
20.002,20.001,-0.08958
20.012,20.044,0.39085
20.074,20.083,-0.80884
20.018,20.036,0.46692
20.063,20.092,-0.73996
20.001,20.001,-0.0069426
20.028,20.031,-0.48068
20.002,20.006,0.18333
20.036,20.046,-0.54476
20.074,20.151,0.91024
20.085,20.091,-0.87398
20.047,20.047,-0.63351
20.004,20.033,0.24848
20.022,20.03,-0.41719
20.06,20.078,-0.72563
20.045,20.046,-0.62213
20.075,20.133,0.91323
20.021,20.026,-0.40677
20.033,20.03,-0.52559
20.008,20.018,0.32032
20.108,20.105,-0.99141
20.08,20.098,-0.84366
20.019,20.022,-0.38083
20.036,20.054,-0.55206
20.012,20.026,0.39058
20.013,20.035,0.40046
20.043,20.059,0.70363
20.001,20.013,0.11812
20.001,20.007,0.14066
20,20.013,0.061841
20.045,20.115,0.71777
20.003,20.001,-0.10731
20.008,20.007,-0.23324
20.002,20.019,0.19072
20.02,20.018,-0.38992
20.072,20.105,-0.79778
20.01,20.01,-0.25612
20.037,20.041,-0.55569
20.006,20.021,0.28645
20.026,20.043,0.55331
20.004,20.002,-0.13993
20.004,20.009,0.24212
20.024,20.019,-0.44185
20.001,20.004,-0.043904
20.018,20.016,-0.37052
20.037,20.061,0.65434
20.019,20.037,0.48632
20.058,20.078,-0.71138
20.084,20.089,-0.86347
20,20.006,0.064273
20.019,20.069,0.48791
20.039,20.066,0.67147
20.016,20.052,0.44133
20.053,20.106,0.77525
20.053,20.04,-0.67429
20.042,20.053,-0.59752
20.051,20.118,0.76392
20.002,20.001,-0.076082
20.046,20.061,-0.6259
20.016,20.057,0.44976
20.052,20.09,0.76711
20.03,20.083,0.59602
20.041,20.067,0.68594
20,20.014,0.076093
20.04,20.052,-0.58082
20,20.002,0.060891
20.041,20.093,0.6866
20.039,20.046,-0.56932
20.015,20.04,0.43345
20.046,20.084,0.72534
20.001,20.001,-0.057471
20.002,20.001,-0.078992
20.07,20.109,0.88506
20.005,20.022,0.25669
20.032,20.05,0.61277
20.006,20.003,-0.19692
20.017,20.016,-0.35721
20.009,20.007,-0.24239
20.015,20.03,0.43794
20.044,20.048,-0.61387
20.001,20.004,-0.020026
20.066,20.092,-0.75846
20.059,20.053,-0.72016
20.071,20.139,0.89439
20.005,20.029,0.26189
20.003,20.001,-0.12269
20.014,20.036,0.41552
20,20.009,0.059293
20.007,20.027,0.30485
20.026,20.045,0.55637
20.004,20.024,0.23604
20,20.001,0.0041747
20.001,20.004,-0.029255
20.069,20.066,-0.7797
20.061,20.103,0.8331
20.004,20.002,-0.13476
20.004,20.002,-0.146
20.098,20.105,-0.94143
20,20.004,0.020853
20.077,20.127,0.92741
20.025,20.033,-0.4493
20.019,20.043,0.48682
20.067,20.058,-0.76639
20.024,20.055,0.53866
20.023,20.047,0.53144
20,20.009,0.081533
20.051,20.072,-0.66136
20.066,20.104,0.86024
20.04,20.05,-0.58358
20.102,20.138,-0.96048
20.003,20.025,0.20322
20.003,20.017,0.21474
20.002,20.003,-0.06229
20.002,20.025,0.19263
20.016,20.044,0.44692
20.006,20.005,-0.18378
20.002,20.014,0.19523
20.004,20.004,-0.14858
20.065,20.092,-0.75632
20.013,20.015,-0.30009
20,20.013,0.093491
20.063,20.054,-0.7458
20.079,20.098,-0.83701
20.022,20.027,-0.42109
20.009,20.022,0.35363
20.002,20.001,-0.085916
20.001,20.004,-0.0015698
20.087,20.1,-0.88304
20.082,20.097,-0.85279
20.014,20.016,-0.32425
20.015,20.021,-0.32786
20.085,20.178,0.96992
20.021,20.038,0.50333
20.006,20.017,0.29306
20.051,20.111,0.76573
20,20.008,0.02378
20.009,20.01,-0.24759
20.052,20.089,0.76752
20.031,20.04,-0.50848
20.052,20.068,-0.67199
20.007,20.021,0.31721
20.029,20.025,-0.48876
20.054,20.048,-0.68479
20.025,20.027,-0.44679
20.021,20.028,-0.40258
20.108,20.135,-0.98819
20.035,20.051,-0.5427
20.009,20.045,0.34024
20.083,20.12,0.96333
20.029,20.026,-0.4877
20.004,20.02,0.23835
20.08,20.153,0.94366
20.001,20.002,-0.015657
20.02,20.017,-0.39795
20.002,20.015,0.19419
20,20.005,0.086766
20.063,20.084,-0.74046
20.001,20.005,0.10444
20.057,20.055,-0.70187
20.029,20.044,-0.4829
20,20.007,0.057424
20.033,20.089,0.62675
20.015,20.052,0.43707
20,20.003,0.0016386
20.055,20.108,0.78796
20.073,20.095,0.90143
20.002,20.001,-0.075289
20.023,20.018,-0.42481
20.065,20.089,0.85273
20.001,20.006,-0.0073436
20.05,20.111,0.75466
20.039,20.044,-0.57352
20.068,20.09,-0.7712
20.064,20.094,-0.75137
20.001,20.011,0.14821
20.002,20.001,-0.067256
20.009,20.014,-0.25192
20.021,20.034,0.50923
20.002,20.001,-0.088796
20.013,20.038,0.41206
20.066,20.102,0.85902
20.035,20.088,0.64093
20.094,20.112,-0.9203
20.078,20.108,0.93238
20.053,20.09,0.77594
20.005,20.033,0.27755
20.106,20.112,-0.97809
20.082,20.151,0.95452
20.008,20.009,-0.22894
20.007,20.005,-0.20068
20,20.009,0.020576
20.001,20.008,0.10326
20.075,20.129,0.91779
20.044,20.113,0.7108
20.001,20,-0.046589
20.05,20.067,0.75563
20.008,20.004,-0.22024
20.091,20.099,-0.90167
20.019,20.02,-0.38513
20.017,20.018,-0.35958
20.002,20.001,-0.077409
20.001,20.004,-0.023733
20.013,20.041,0.41348
20.01,20.012,-0.26541
20.069,20.122,0.88288
20.027,20.029,-0.46362
20.02,20.056,0.49079
20.059,20.114,0.81815
20.002,20.01,0.16911
20.058,20.13,0.81301
20.088,20.106,-0.88663
20.001,20.012,0.11347
20.109,20.129,-0.99408
20.055,20.073,-0.69369
20.006,20.004,-0.18502
20.034,20.05,-0.53311
20,20.009,0.070628
20.018,20.025,-0.37679
20.014,20.041,0.41727
20.002,20.024,0.17412
20.033,20.026,-0.52162
20.085,20.094,-0.87188
20.109,20.09,-0.99326
20.045,20.056,-0.62185
20.001,20.005,-0.017593
20.004,20.017,0.23294
20.065,20.057,-0.75445
20.062,20.079,-0.73394
20.018,20.012,-0.37164
20.077,20.086,-0.82429
20.006,20.007,-0.18241
20.024,20.035,-0.43536
20.005,20.031,0.26118
20.037,20.048,-0.56049
20.007,20.028,0.30851
20.044,20.049,-0.61306
20.074,20.095,-0.8108
20.062,20.096,0.83672
20.001,20.011,0.11648
20.005,20.005,-0.16472
20.069,20.097,-0.77911
20.001,20.015,0.10549
20.069,20.08,-0.77744
20.034,20.028,-0.52796
20.06,20.055,-0.72269
20.016,20.025,-0.34352
20.013,20.016,-0.30712
20.065,20.091,0.85751
20.053,20.075,0.77663
20.028,20.07,0.58009
20.081,20.104,-0.85106
20.005,20.005,-0.16041
20.007,20.005,-0.20655
20.005,20.004,-0.17414
20.081,20.146,0.94791
20.033,20.034,-0.52421
20.069,20.1,-0.78285
20.03,20.084,0.60006
20.092,20.127,-0.91037
20.076,20.151,0.91991
20.031,20.064,0.60329
20.076,20.138,0.92119
20.023,20.041,0.5315
20.003,20.021,0.21646
20.086,20.135,0.97808
20.001,20.004,0.12511
20.001,20.001,-0.0082239
20.03,20.047,-0.49392
20.044,20.033,-0.60808
20.001,20.004,-0.014531
20.014,20.036,0.42177
20.086,20.154,0.97524
20.015,20.014,-0.33076
20.037,20.036,-0.55967
20.013,20.022,-0.30944
20.075,20.081,-0.81679
20.005,20.028,0.2632
20.009,20.011,-0.24362
20.053,20.09,0.77473
20.004,20.002,-0.14695
20.054,20.091,0.78155
20.036,20.044,-0.55154
20.03,20.068,0.59386
20.045,20.102,0.71656
20.004,20.002,-0.14581
20.002,20.016,0.17772
20.075,20.07,-0.8166
20.03,20.034,-0.49883
20.002,20.011,0.18754
20,20.009,0.041159
20.061,20.135,0.82811
20.008,20.019,0.32659
20.001,20.006,-0.0006949
20.005,20.011,0.26961
20.077,20.071,-0.82728
20.094,20.08,-0.91839
20.021,20.058,0.50313
20.016,20.023,-0.35249
20.084,20.075,-0.86702
20.064,20.105,0.84651
20.089,20.091,-0.89128
20.084,20.113,-0.86411
20.001,20.019,0.14707
20.003,20.001,-0.1216
20.099,20.1,-0.94526
20.09,20.088,-0.9006
20.033,20.049,-0.52289
